document,text
A,"90% data yang ada di dunia, dibuat hanya dalam dua tahun terakhir"
B,Suhu tubuh merupakan contoh dari data kontinu
C,"Dalam era revolusi industri 4.0 ini, data menjadi mata uang baru"
D,Data scientist bertugas menganalisis berbagai macam data dalam jumlah besar
E,Indexing atau pengindeksan merupakan suatu proses penting dalam IR
F,"Informasi adalah data yang disimpan, diproses, atau ditransmisikan"
G,Data adalah catatan atas kumpulan fakta
H,Machine Learning merupakan salah satu cabang dari disiplin ilmu Kecerdasan Buatan (AI) yang membahas mengenai pembangunan sistem yang berdasarkan pada data
I,"Jaringan saraf tiruan, adalah jaringan dari sekelompok unit pemroses kecil yang dimodelkan berdasarkan sistem saraf manusia"
J,Multilayer perceptron adalah kelas jaringan saraf tiruan feedforward
K,Information retrieval (IR) adalah proses memperoleh sumber daya sistem informasi yang relevan dengan kebutuhan informasi dari kumpulan sumber daya tersebut
L,Perceptron adalah algoritma pada pembelajaran terbimbing untuk melakukan klasifikasi biner (dua jenis)
M,Algoritma genetik adalah teknik pencarian yang di dalam ilmu komputer untuk menemukan penyelesaian perkiraan untuk optimisasi dan masalah pencarian
N,"Dari abad ke-18 sampai akhir abad ke-20, sejarah sains, khususnya ilmu fisika dan biologi, sering disajikan dalam narasi progresif yang mana teori yang benar menggantikan keyakinan yang salah"
O,"Perpustakaan Besar Aleksandria di Kota Aleksandria, Mesir merupakan salah satu perpustakaan terbesar dan terpenting pada zaman kuno"
P,"Pemrograman  adalah proses menulis, menguji dan memperbaiki (debug), dan memelihara kode yang membangun suatu program komputer"
Q,Probabilitas dapat dipahami sebagai suatu nilai yang menunjukkan seberapa besar kemungkinan terjadinya suatu peristiwa
R,"Informasi adalah pesan (ucapan atau ekspresi) atau kumpulan pesan yang terdiri dari order sekuens dari simbol, atau makna yang dapat ditafsirkan dari pesan atau kumpulan pesan"
S,Tujuan utama Information Retrieval adalah untuk menemukan dokumen yang sesuai dengan kebutuhan informasi pengguna secara efektif dan efisien
T,Model ruang vektor dan model probabilistik adalah model yang menggunakan pembobotan kata dan perangkingan dokumen
